c1ccc(cc1)C[C@H](COC(=O)N)N.Cl
C[C@@H](Cc1ccccc1)N.C[C@@H](Cc1ccccc1)N.OS(=O)(=O)O
C[C@@H](Cc1ccccc1)NC.Cl
CC(Cc1ccccc1)N.CC(Cc1ccccc1)N.OS(=O)(=O)O
CC(C)(Cc1ccccc1)N
CNC[C@H]1c2c(ccs2)CCO1.Cl
C[C@H](Cc1ccccc1)N
Cc1c(cccc1F)[C@H]2COC(=N2)N
C[C@H](Cc1ccccc1)NC
CCc1c(c(n[nH]1)C(=O)Nc2ccc(cc2)[C@H]3CNCCO3)C
COc1cccc(c1)S(=O)(=O)NC[C@@H]2CCCN2
C[C@H](C(=O)Nc1ccc(cc1)c2ccco2)N
COc1ccsc1C2CNCCO2
c1csc2c1CCN3[C@H]2CNCC3
c1cnc(nc1)NC(=O)CSc2c(c(cc(n2)c3ccc(cc3)Cl)C(F)(F)F)C#N
[11CH3]Oc1cccc(c1)NC(=O)c2cc(c(nc2)N3CCCC3)C(F)(F)F
c1cc(ccc1C/N=C(\N)/N=C(N)N)Cl
Cc1cc(ccc1Cc2ccc(cc2)O)CCN.Cl
Cc1cc(ccc1Cc2ccc(cc2)N)CCN.Cl
Cc1cc(ccc1Cc2ccc(cc2)N)OCCN.Cl
c1cc(ccc1Cc2ccc(cc2)OCCN)N.Cl
c1cc(c(cc1[C@H]2COC(=N2)N)Cl)Cl
CCc1cccc(c1Cc2[nH]ccn2)CC
CC[C@@H](C[C@H]1COC(=N1)N)c2ccccc2
CC(C)N(Cc1c[nH]cn1)c2ccc(cc2)Cl
CCN(C[C@H]1COC(=N1)N)c2ccccc2
CCOc1cccc(c1)NC(=O)c2ccc(c(c2)C(F)(F)F)N3CCCC3
c1ccc(cc1)Oc2ccc(cc2I)CCN.Cl
c1cc(ccc1O)Oc2ccc(cc2I)CCN
OC(=O)\C=C/C(=O)O.C1CN2CCc3ccsc3[C@@H]2CN1
COc1ccccc1S(=O)(=O)NC[C@@H]2CCCN2
O=C1Nc2ccc(cc2NC1=O)S(=O)(=O)NC[C@@H]3CCCN3
CC1NCCCn2cccc12
CNC[C@H]1c2ccsc2C3(CC3)CO1.OS(=O)(=O)O
CNC[C@H]1c2ccsc2C3(CC3)CO1.OP(=O)(O)O
CNC[C@H]1c2ccsc2C3(CC3)CO1.c1ccc(cc1)[C@@H](C(=O)O)O
c1cc(c(cc1Oc2cncs2)[C@@H]3CNCCO3)F
c1cc(cc(c1)Oc2cncs2)[C@@H]3CNCCO3
c1cc(cc(c1)Oc2cnc(s2)N)[C@@H]3CNCCO3
c1cc(c(cc1Oc2ccc(nn2)F)[C@@H]3CNCCO3)F
Cc1cc(sn1)Oc2cccc(c2)[C@@H]3CNCCO3
c1cc(c(cc1Oc2nncs2)[C@@H]3CNCCO3)F
CNC[C@H]1c2ccsc2C3(CC3)CO1.Cl
